trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
234,False,"{'a': 0.5, 'e': 0.2979999999999994}",20,0,-38.80398291888572,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
235,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,0,-103.89588320526781,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.29199999999999937}",20,0,-133.46050737874475,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
237,False,"{'a': 0.5, 'e': 0.28899999999999937}",30,0,-59.506787150116935,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
238,False,"{'a': 0.5, 'e': 0.28599999999999937}",25,0,-127.88772205691265,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
239,False,"{'a': 0.5, 'e': 0.28299999999999936}",35,0,-239.7062817022035,"{0: 19, 1: 4, 2: 8, 3: 0, 4: 4}",0
240,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,-180.68828011125146,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
241,False,"{'a': 0.5, 'e': 0.27699999999999936}",35,1,-86.39830704135338,"{0: 21, 1: 3, 2: 10, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.27399999999999936}",30,0,-148.63136722220392,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
243,False,"{'a': 0.5, 'e': 0.27099999999999935}",20,0,-23.650904206995307,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.26799999999999935}",20,0,-79.1427994931482,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
245,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,0,-119.67638577078169,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
246,False,"{'a': 0.5, 'e': 0.26199999999999934}",20,0,-26.76998442564749,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
247,False,"{'a': 0.5, 'e': 0.25899999999999934}",30,0,-277.5149420571637,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 5}",0
248,False,"{'a': 0.5, 'e': 0.25599999999999934}",25,0,-123.5205108629757,"{0: 16, 1: 4, 2: 0, 3: 4, 4: 1}",0
249,False,"{'a': 0.5, 'e': 0.25299999999999934}",20,0,-71.363090564823,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,8,-66.4952457470133,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
251,False,"{'a': 0.5, 'e': 0.24699999999999933}",25,0,-234.6804595054098,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
252,False,"{'a': 0.5, 'e': 0.24399999999999933}",25,0,-34.43132053186051,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
253,False,"{'a': 0.5, 'e': 0.24099999999999933}",20,0,-80.00558597467833,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
254,False,"{'a': 0.5, 'e': 0.23799999999999932}",20,0,-121.0682408639174,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
255,False,"{'a': 0.5, 'e': 0.23499999999999932}",35,0,-158.61268556738062,"{0: 18, 1: 6, 2: 9, 3: 1, 4: 1}",0
256,False,"{'a': 0.5, 'e': 0.23199999999999932}",20,0,-54.998835998085276,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
257,False,"{'a': 0.5, 'e': 0.22899999999999932}",20,0,-124.97833537163359,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
258,False,"{'a': 0.5, 'e': 0.2259999999999993}",25,7,-153.31065834582205,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 3}",1
259,False,"{'a': 0.5, 'e': 0.2229999999999993}",25,0,-209.94708753007797,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
260,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,6,-99.53801265916144,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 1}",1
261,False,"{'a': 0.5, 'e': 0.2169999999999993}",20,0,-131.9966747917918,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
262,False,"{'a': 0.5, 'e': 0.2139999999999993}",20,10,-20.699315768879593,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.2109999999999993}",20,0,-228.27033893226476,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
264,False,"{'a': 0.5, 'e': 0.2079999999999993}",20,0,-67.57966334505218,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
265,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,0,-165.79616661256887,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
266,False,"{'a': 0.5, 'e': 0.2019999999999993}",35,0,-195.61271632146418,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
267,False,"{'a': 0.5, 'e': 0.1989999999999993}",20,12,1.60352832425812,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.19599999999999929}",20,0,-149.66947772716458,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
269,False,"{'a': 0.5, 'e': 0.19299999999999928}",25,0,-149.15316051502663,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
270,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,0,-79.40994142710954,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
271,False,"{'a': 0.5, 'e': 0.18699999999999928}",20,0,-72.32007310406566,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
272,False,"{'a': 0.5, 'e': 0.18399999999999928}",20,0,-99.98647248411415,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
273,False,"{'a': 0.5, 'e': 0.18099999999999927}",25,0,-149.3079208327838,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
274,False,"{'a': 0.5, 'e': 0.17799999999999927}",25,0,-182.3200709175457,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
275,False,"{'a': 0.5, 'e': 0.17499999999999927}",25,0,-42.1100991832674,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
276,False,"{'a': 0.5, 'e': 0.17199999999999926}",35,0,-192.4693160060213,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
277,False,"{'a': 0.5, 'e': 0.16899999999999926}",25,0,-41.53359322196288,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
278,False,"{'a': 0.5, 'e': 0.16599999999999926}",25,0,-231.2826031051459,"{0: 12, 1: 2, 2: 4, 3: 4, 4: 3}",0
